Family,Language,ID,Gloss Link,GLOSS,Orthographic Form,Phonemicized Form,Gloss as in Source,Etymology Code,Proto-Form,Proto-Language,Loan Source,Wanderwort Status,Etyma Set,Etymology Notes,General Notes,Source
Araucanian,Mapudungun,265,/lexical/feature/824,mountain/hill,"montaña, colina, loma, cerro","morro, serra",environment,,,wiŋkul mapu,,,,,,,
Araucanian,Mapudungun,265,/lexical/feature/825,green,verde,verde,quality,,,karɨ,,,,,,,
Araucanian,Mapudungun,265,/lexical/feature/826,hot,caliente,quente,quality,,,are,,,,,,,
Arawakan,Achagua,48,/lexical/feature/352,above,"encima, arriba",acima,location,,áakai,áakai,,unique,,,,,
Arawakan,Achagua,48,/lexical/feature/355,and,y,e,grammar,,,,,,,,,,
Arawakan,Achagua,48,/lexical/feature/359,ash,ceniza(s),cinzas,environment,,ba:li,ba:li,,inheritance,,,,,
Arawakan,Achagua,48,/lexical/feature/360,at,"en, a","em, a",location,,,,,,,,,,
Arawakan,Achagua,48,/lexical/feature/361,back,espalda,costas,body,,wóhna:,wóhna:,,inheritance,,,,,
Arawakan,Achagua,48,/lexical/feature/565,bad,mal,mal,quality,,máaʃi,máaʃi,,inheritance,,,,,
Arawakan,Achagua,48,/lexical/feature/363,belly,barriga,barriga,body,,áwai,áwai,,unique,,,,,
Arawakan,Achagua,48,/lexical/feature/364,below,"abajo, debajo",abaixo,location,,káinakula,káinakula,,inheritance,,,,,
Arawakan,Achagua,48,/lexical/feature/365,big,grande,grande,quality,,wé:ri,wé:ri,,"doubtful loan, direction unknown",,,Desano wɨarí,,
Arawakan,Achagua,48,/lexical/feature/368,black,negro,preto,colour,,katʃáhulai,katʃáhulai,,inheritance,,,,,
Arawakan,Achagua,48,/lexical/feature/369,blood,sangre,sangue,body,,í:rai,í:rai,,inheritance,,,,,
Arawakan,Achagua,48,/lexical/feature/372,boil/pimple,"espinilla, granos","espinha, borbulha",body,,,,,missing,,,,,
Arawakan,Achagua,48,/lexical/feature/373,bone,hueso,osso,body,,ijáhi,ijáhi,,inheritance,,,,,
Arawakan,Achagua,48,/lexical/feature/376,breast,"pecho, seno",peito,body,,kúta,kúta,,inheritance,,,,,
Arawakan,Achagua,48,/lexical/feature/380,child,"niño, niña",criança,human,,"samáʃta, samálita","samáʃta, samálita",,inheritance,,,,,
Arawakan,Achagua,48,/lexical/feature/382,cloud,nube,nuvem,environment,,sáanai,sáanai,,unique,,,,,
Arawakan,Achagua,48,/lexical/feature/383,cold,frío,frio,quality,,kasaliniri,kasaliniri,,inheritance,,,,,
Arawakan,Achagua,48,/lexical/feature/386,correct/true,"verdad, de veras",verdade,quality,,jáawa,jáawa,,unknown,,,,,
Arawakan,Achagua,48,/lexical/feature/390,day,día,dia,time,,éeri,éeri,,inheritance,,,,,
Arawakan,Achagua,48,/lexical/feature/395,dirty,sucio,sujo,quality,,ká:lí,ká:lí,,inheritance,,,,,
Arawakan,Achagua,48,/lexical/feature/394,dingo/wolf,,,fauna,,,,,,,,,,
Arawakan,Achagua,48,/lexical/feature/399,dry,seco,seco,quality,,míʃii,míʃii,,unique,,,,,
Arawakan,Achagua,48,/lexical/feature/400,dull/blunt,"sin filo, mocho, desafilado, embotado, romo","maçante, desamolado, não afiado",quality,,méemai,méemai,,,,,,,
Arawakan,Achagua,48,/lexical/feature/401,dust,polvo,poeira,environment,,pukúpukui,pukúpukui,,unique,,,,,
Arawakan,Achagua,48,/lexical/feature/402,ear,oreja,orelha,body,,wíba,wíba,,inheritance,,,,,
Arawakan,Achagua,48,/lexical/feature/403,earth/soil,tierra,terra,environment,,káinabi (h&r),káinabi (h&r),,semantic shift,,,dirt,,
Arawakan,Achagua,48,/lexical/feature/405,egg,huevo,ovo,fauna,,éewiʃi,éewiʃi,,inheritance,,,,,
Arawakan,Achagua,48,/lexical/feature/406,eye,ojo,olho,body,,túi,túi,,inheritance,,,,,
Arawakan,Achagua,48,/lexical/feature/409,far,lejos,longe,quality,,"déktʃe:, déktʃala","déktʃe:, déktʃala",,inheritance,,,,,
Arawakan,Achagua,48,/lexical/feature/410,fat/grease,grasa,gordura,body,,júuwika,júuwka,,inheritance,,,,,
Arawakan,Achagua,48,/lexical/feature/411,father,"padre, papá",pai,kinship,,sálihina,sálihina,,unique,,,,,
Arawakan,Achagua,48,/lexical/feature/413,feather,pluma,pena,fauna,,báinaʃi,báinaʃi,,inheritance,,,sem shift from hair?,,
Arawakan,Achagua,48,/lexical/feature/414,fire,fuego,fogo,environment,,ʧiʧtái,ʧiʧtái,,inheritance,,,,,
Arawakan,Achagua,48,/lexical/feature/417,flower,flor,flor,environment,,íwinaʃi,íwinaʃi,,inheritance,,,,,
Arawakan,Achagua,48,/lexical/feature/419,fog,"niebla, neblina","nevoeira, bruma, neblina",environment,,samána,samána,,,,,,,
Arawakan,Achagua,48,/lexical/feature/421,fruit,fruta,fruta,flora,,"íta, ítali","íta, ítali",,inheritance,,,,,
Arawakan,Achagua,48,/lexical/feature/422,good,bueno,bom,quality,,sáika,sáika,,unique,,,,,
