ID_forms	Local_ID	Language_ID	Parameter_ID	Value	Form	Segments	Comment	Source	Cognacy	Loan	Graphemes	Profile	ID_languages	Name	Glottocode	Glottolog_Name	ISO639P3code	Macroarea	Latitude	Longitude	Family	ID	Name_parameters	Concepticon_ID	Concepticon_Gloss	ID_cognates	Form_ID	Form_cognates	Cognateset_ID	Doubt	Cognate_Detection_Method	Source_cognates	Alignment	Alignment_Method	Alignment_Source
Prototucanoan-58-heavy-1		Prototucanoan	58-heavy	*tʔɨkkɨ	tʔ.ɨ.kk.ɨ	tˀ ɨ kː ɨ		Chacon2014			^ tʔ . ɨ . kk . ɨ $	default	Prototucanoan	Proto-Tucanoan	tuca1253	Tucanoan					Tucanoan	58-heavy	heavy	1210.0	HEAVY	Prototucanoan-58-heavy-1-1	Prototucanoan-58-heavy-1	tʔ.ɨ.kk.ɨ	58-heavy-94	False	expert	Chacon2014	tˀ ɨ kː ɨ	expert	Chacon2014
Prototucanoan-137-wife-1		Prototucanoan	137-wife	*tʔɨ̃po	tʔ.ɨ̃.p.o	tˀ ɨ̃ p o		Chacon2014			^ tʔ . ɨ̃ . p . o $	default	Prototucanoan	Proto-Tucanoan	tuca1253	Tucanoan					Tucanoan	137-wife	wife	1199.0	WIFE	Prototucanoan-137-wife-1-1	Prototucanoan-137-wife-1	tʔ.ɨ̃.p.o	137-wife-95	False	expert	Chacon2014	tˀ ɨ̃ p o	expert	Chacon2014
Prototucanoan-27-cut-1		Prototucanoan	27-cut	*tʔɨtte	tʔ.ɨ.tt.e	tˀ ɨ tː e		Chacon2014			^ tʔ . ɨ . tt . e $	default	Prototucanoan	Proto-Tucanoan	tuca1253	Tucanoan					Tucanoan	27-cut	cut	1432.0	CUT	Prototucanoan-27-cut-1-1	Prototucanoan-27-cut-1	tʔ.ɨ.tt.e	27-cut-96	False	expert	Chacon2014	tˀ ɨ tː e	expert	Chacon2014
Prototucanoan-129-trairafish-1		Prototucanoan	129-trairafish	*tʔoje	tʔ.o.j.e	tˀ o j e		Chacon2014			^ tʔ . o . j . e $	default	Prototucanoan	Proto-Tucanoan	tuca1253	Tucanoan					Tucanoan	129-trairafish	traira fish			Prototucanoan-129-trairafish-1-1	Prototucanoan-129-trairafish-1	tʔ.o.j.e	129-trairafish-97	False	expert	Chacon2014	tˀ o j e	expert	Chacon2014
Prototucanoan-139-woman-1		Prototucanoan	139-woman	*tʔõmi-	tʔ.õ.m.i	tˀ õ m i		Chacon2014			^ tʔ . õ . m . i $	default	Prototucanoan	Proto-Tucanoan	tuca1253	Tucanoan					Tucanoan	139-woman	woman	962.0	WOMAN	Prototucanoan-139-woman-1-1	Prototucanoan-139-woman-1	tʔ.õ.m.i	139-woman-98	False	expert	Chacon2014	tˀ õ m i ( - - )	expert	Chacon2014
Prototucanoan-31-dove-1		Prototucanoan	31-dove	*t∫ɨ-	t∫.ɨ	tʃ ɨ		Chacon2014			^ t∫ . ɨ $	default	Prototucanoan	Proto-Tucanoan	tuca1253	Tucanoan					Tucanoan	31-dove	dove	1853.0	DOVE	Prototucanoan-31-dove-1-1	Prototucanoan-31-dove-1	t∫.ɨ	31-dove-99	False	expert	Chacon2014	tʃ ɨ ( - - - - )	expert	Chacon2014
Prototucanoan-51-gather-1		Prototucanoan	51-gather	*t∫ɨ-a	t∫.ɨ.a	tʃ ɨ a		Chacon2014			^ t∫ . ɨ . a $	default	Prototucanoan	Proto-Tucanoan	tuca1253	Tucanoan					Tucanoan	51-gather	gather	7.0	GATHER	Prototucanoan-51-gather-1-1	Prototucanoan-51-gather-1	t∫.ɨ.a	51-gather-100	False	expert	Chacon2014	tʃ ɨ - a	expert	Chacon2014
Prototucanoan-87-navel-1		Prototucanoan	87-navel	*t∫õpʔɨ	t∫.õ.pʔ.ɨ	tʃ õ pˀ ɨ		Chacon2014			^ t∫ . õ . pʔ . ɨ $	default	Prototucanoan	Proto-Tucanoan	tuca1253	Tucanoan					Tucanoan	87-navel	navel	1838.0	NAVEL	Prototucanoan-87-navel-1-1	Prototucanoan-87-navel-1	t∫.õ.pʔ.ɨ	87-navel-101	False	expert	Chacon2014	tʃ õ pˀ ɨ ( - - )	expert	Chacon2014
Prototucanoan-54-grass-1		Prototucanoan	54-grass	*taja	t.a.j.a	t a j a		Chacon2014			^ t . a . j . a $	default	Prototucanoan	Proto-Tucanoan	tuca1253	Tucanoan					Tucanoan	54-grass	grass	606.0	GRASS	Prototucanoan-54-grass-1-1	Prototucanoan-54-grass-1	t.a.j.a	54-grass-102	False	expert	Chacon2014	t a j a	expert	Chacon2014
Prototucanoan-80-monkey-1		Prototucanoan	80-monkey	*takke	t.a.kk.e	t a kː e		Chacon2014			^ t . a . kk . e $	default	Prototucanoan	Proto-Tucanoan	tuca1253	Tucanoan					Tucanoan	80-monkey	monkey	1350.0	MONKEY	Prototucanoan-80-monkey-1-1	Prototucanoan-80-monkey-1	t.a.kk.e	80-monkey-103	False	expert	Chacon2014	t a kː e	expert	Chacon2014
Prototucanoan-24-chew-1		Prototucanoan	24-chew	*tjʔãkʔɨ	tsʔ.ã.kʔ.ɨ	tsˀ ã kˀ ɨ		Chacon2014			^ tsʔ . ã . kʔ . ɨ $	default	Prototucanoan	Proto-Tucanoan	tuca1253	Tucanoan					Tucanoan	24-chew	chew	321.0	CHEW	Prototucanoan-24-chew-1-1	Prototucanoan-24-chew-1	tsʔ.ã.kʔ.ɨ	24-chew-104	False	expert	Chacon2014	tsˀ ã kˀ ɨ	expert	Chacon2014
