Family,Language,Glottocode,Gloss,Portuguese gloss,Phonemicized Form
Chapakuran,Proto-Chapacuran,,to cry,,*ʔaɲ
Chapakuran,Proto-Chapacuran,,younger sister,,*ʔanin
Chapakuran,Proto-Chapacuran,,palm species,palmeira-marayau,*ʔapa:
Chapakuran,Proto-Chapacuran,,shoulder,,*ʔapam
Chapakuran,Proto-Chapacuran,,kind of fruit,,*ʔapan
Chapakuran,Proto-Chapacuran,,maternal grandmother,,*ʔapaʔ
Chapakuran,Proto-Chapacuran,,"thorn, needle, hook",,*ʔapi:
Chapakuran,Proto-Chapacuran,,father-in-law,,*ʔapi:
Chapakuran,Proto-Chapacuran,,to finish,,*ʔapiʔ
Chapakuran,Proto-Chapacuran,,uncle (aunt's husband),,*ʔapo:
Chapakuran,Proto-Chapacuran,,caiman,jacaré,*ʔapop
Chapakuran,Proto-Chapacuran,,"bone, leg",,*ʔatat
Chapakuran,Proto-Chapacuran,,"back, shoulders",,*ʔataw/*ʔaɾaw
Chapakuran,Proto-Chapacuran,,younger brother,,*ʔatin
Chapakuran,Proto-Chapacuran,,"house, traditional village (maloca)",,*ʔatɾim
Chapakuran,Proto-Chapacuran,,younger sibling,,*ʔatᶴaʔ
Chapakuran,Proto-Chapacuran,,to sneeze,,*ʔatᶴem
Chapakuran,Proto-Chapacuran,,"to spill liquid, to bleed, to leak, to drain, to drip",,*ʔaw
Chapakuran,Proto-Chapacuran,,bitter,,*ʔawan
Chapakuran,Proto-Chapacuran,,tree species with venomous bark,,*ʔawan
Chapakuran,Proto-Chapacuran,,"pig, hog, capybara",,*ʔawan
Chapakuran,Proto-Chapacuran,,"good, beautiful, tasty",,*ʔawi:
Chapakuran,Proto-Chapacuran,,blood,,*ʔawik
Chapakuran,Proto-Chapacuran,,"sky, height, to charge upwards",,*ʔawin
Chapakuran,Proto-Chapacuran,,cotton; clothes; dove/pigeon species,algodão; roupa; pomba (esp.),*ʔawom
Chapakuran,Proto-Chapacuran,,2SG,,*ʔawum
Chapakuran,Proto-Chapacuran,,brother-in-law (sister's husband),,*ʔenem
Chapakuran,Proto-Chapacuran,,"pillar, to grind with a stone",,*ʔep
Chapakuran,Proto-Chapacuran,,trumpeter (bird species),jacamim,*ʔeɾum
Chapakuran,Proto-Chapacuran,,burn,,*ʔew
Chapakuran,Proto-Chapacuran,,toucan,,*ʔewu:
Chapakuran,Proto-Chapacuran,,fish (generic),,*ʔihʷam
Chapakuran,Proto-Chapacuran,,"tooth, beak",,*ʔijat
Chapakuran,Proto-Chapacuran,,vessel made of palm,vasilha feita de cacho de palmeira,*ʔijaʔ
Chapakuran,Proto-Chapacuran,,paternal grandfather,,*ʔijewˀ
Chapakuran,Proto-Chapacuran,,palm species,palmeira-bacaba,*ʔiji:
Chapakuran,Proto-Chapacuran,,"fear, to fear",,*ʔijinˀ
Chapakuran,Proto-Chapacuran,,"to put out, to erase",,*ʔijoʔ
Chapakuran,Proto-Chapacuran,,kind of mosquito,mosquito-catoqui,*ʔikan
Chapakuran,Proto-Chapacuran,,"medicine man, sorcerer",,*ʔikat
Chapakuran,Proto-Chapacuran,,to break,,*ʔikat
Chapakuran,Proto-Chapacuran,,"chest, thorax",,*ʔikim
Chapakuran,Proto-Chapacuran,,"knife, iron instrument",,*ʔikit
Chapakuran,Proto-Chapacuran,,"hole, vagina",,*ʔiman
Chapakuran,Proto-Chapacuran,,kind of mosquito or fly,"pium, borrachudo",*ʔimiʔ
Chapakuran,Proto-Chapacuran,,tapir,,*ʔimʷinˀ
Chapakuran,Proto-Chapacuran,,"to die, dead",,*ʔimʷiʔ
Chapakuran,Proto-Chapacuran,,pregnant,,*ʔinamˀ
Chapakuran,Proto-Chapacuran,,bat,,*ʔinawˀ
Chapakuran,Proto-Chapacuran,,mother,,*ʔinaʔ
Chapakuran,Proto-Chapacuran,,"to open (eyes or door)",,*ʔipa:
Chapakuran,Proto-Chapacuran,,"to fall, to be born",,*ʔipan
Chapakuran,Proto-Chapacuran,,"latex, rubber",seringa; borracha,*ʔipik
Chapakuran,Proto-Chapacuran,,anteater species,tamanduá-mirim,*ʔipʷik
Chapakuran,Proto-Chapacuran,,açaí palm,palmeira-açai,*ʔiɾam
Chapakuran,Proto-Chapacuran,,"(to be) right, truth",,*ʔiɾiʔ
Chapakuran,Proto-Chapacuran,,body,,*ʔit
Chapakuran,Proto-Chapacuran,,to swallow,,*ʔitak
Chapakuran,Proto-Chapacuran,,to urinate,,*ʔitaʔ/*ʔiɾaʔ
Chapakuran,Proto-Chapacuran,,father (1SG.POSS),,*ʔite:
Chapakuran,Proto-Chapacuran,,"fire, firewood",,*ʔitᶴe:
Chapakuran,Proto-Chapacuran,,night,,*ʔitˢim
Chapakuran,Proto-Chapacuran,,"centipede, millipede",,*ʔitᶴin
Chapakuran,Proto-Chapacuran,,louse,,*ʔiwˀ
Chapakuran,Proto-Chapacuran,,to get home,,*ʔiwan
Chapakuran,Proto-Chapacuran,,mat,,*ʔiwi:
Chapakuran,Proto-Chapacuran,,smoke,,*ʔiwiʔ
Chapakuran,Proto-Chapacuran,,palm species,palmeira-najá,*ʔodᶻip
Chapakuran,Proto-Chapacuran,,"spirit, soul of a corpse",,*ʔojam
Chapakuran,Proto-Chapacuran,,pacu (fish species),,*ʔojop
Chapakuran,Proto-Chapacuran,,scorpion,,*ʔokin
Chapakuran,Proto-Chapacuran,,palm species,palmeira-real / buriti,*ʔokon
Chapakuran,Proto-Chapacuran,,"to live, to have, to exist",,*ʔomaʔ
Chapakuran,Proto-Chapacuran,,"scrubland, bush, firm land",,*ʔomi:
Chapakuran,Proto-Chapacuran,,to whistle without help from the hand,,*ʔon
Chapakuran,Proto-Chapacuran,,palm species,palmeira-buruburu,*ʔonaɲ
Chapakuran,Proto-Chapacuran,,"navel, belly button",,*ʔonok
Chapakuran,Proto-Chapacuran,,to dance,,*ʔop
Chapakuran,Proto-Chapacuran,,bagre (fish species),bagre,*ʔopaʔ
Chapakuran,Proto-Chapacuran,,woodworm/beetle species,caruncho rola-bosta; besouro (esp.),*ʔopi:
Chapakuran,Proto-Chapacuran,,kind of liana used for binding,"cipó-ambé, usado para amarrar",*ʔopot
Chapakuran,Proto-Chapacuran,,cheek,,*ʔoɾam
Chapakuran,Proto-Chapacuran,,mushroom species,,*ʔorawˀ
Chapakuran,Proto-Chapacuran,,"people of, clan of, kind of",,*ʔoro:
Chapakuran,Proto-Chapacuran,,"gourd, calabash",,*ʔoɾom
Chapakuran,Proto-Chapacuran,,to break out (2nd permanent tooth of a child),,*ʔoɾot
Chapakuran,Proto-Chapacuran,,curassow (bird species),mutum,*ʔotin
Chapakuran,Proto-Chapacuran,,"gourd, calabash",,*ʔoto:
Chapakuran,Proto-Chapacuran,,monkey species,macaco-de-cheiro amarelo,*ʔotˢiw
Chapakuran,Proto-Chapacuran,,kind of fish,peixe-jeju,*ʔowam
Chapakuran,Proto-Chapacuran,,wart,,*ʔowit
Chapakuran,Proto-Chapacuran,,anum (bird species),,*ʔoβi:
Chapakuran,Proto-Chapacuran,,"flesh (of the body), body",,*ʔukun
Chapakuran,Proto-Chapacuran,,hand,,*ʔum
Chapakuran,Proto-Chapacuran,,bird (generic),,*ʔumʷe:
Chapakuran,Proto-Chapacuran,,head,,*ʔupʷek
Chapakuran,Proto-Chapacuran,,to sleep,,*ʔupʷeɲ
Chapakuran,Proto-Chapacuran,,ant species,formiga-da-castanha,*ʔuɾin
Chapakuran,Proto-Chapacuran,,nose,,*ʔutuɾ
Chapakuran,Proto-Chapacuran,,urine,,*ʔutut
Chapakuran,Proto-Chapacuran,,older sister,,*ʔuwe:
Chapakuran,Proto-Chapacuran,,paternal grandmother,,*ʔuwew
Chapakuran,Proto-Chapacuran,,name,,*ʔuwit
Chapakuran,Proto-Chapacuran,,ant species,formiga-saraça,*ʔuʔ
