No.,FORM,Gloss,Scientific name
370,*takʼǎtʼ,rio acima,
371,*jãbi,aldeia,
372,*wɤ̂kʼ,caatinga,
373,*ti̇̂wo,caminho,
374,*kʼewpah,capoeira,
375,*câtʼ,cerca 1,
376,*cûj,cerca 2,
377,*takʼawecʼoʔ,cerrado (ervas),
378,*kʼâwo,roça 1,
379,*pʼǒt,roça 2,
380,*daʔeko,água,
381,*bõhõtʼ,arco-íris,
382,*hǔtʼ,areia 1,
383,*wêg,areia 2,
384,*pox,céu 1,
385,*wɤ̌ʔ,céu 2,
386,*tʼocoʔ,chuva,
387,*wedoʔbẽ̌h,estrela,
388,*têgo,fogo,
389,*ʔabõ̌h,lago,
390,*cʼɯ̌kʼ,neblina,
391,*pâc,pedra 1,
392,*paʔo,pedra 2,
393,*bĩ̌ʔ,rio,
394,*wedixôh,sol 1,
395,*papã̂jo,sol 2,
396,*tũ̌ʔ,solo,
397,*cʼako,terra,
398,*pẽj,trovão 1,
399,*daɾuk,trovão 2,
400,*bahûto,vento,
401,*ʔǔw,avô,
402,*jôh,cunhado,
403,*ʔã̂bo,esposa,
404,*tûgo,filha,
405,*ʔãj,irmã,
406,*ʔĩ̌do,mãe,
407,*tuguʔ,marido,
408,*ʔi̇̂po,pai 1,
409,*ʔěʔ,pai 2,
410,*kʼot,tio (materno),
411,*hã̂po,peixe (genérico),
412,*t’ob,acará (sp.),Família dos ciclídeos
413,*xot,aracu (sp.),família dos anostomídeos
414,*c’âʔi,arraia,Potamotrygon sp.
415,*t’ok’,jeju (sp.),Erythrinus sp.
416,*c’og,muçum,Symbranchus marmoratus
417,*jâc’,peixe-boi,Trichechus inunguis
418,*joʔogoʔ,piaba (sp.),
419,*c’ap’ut,poraquê,Electrophorus electricus
420,*pǒj,surubim,Pseudoplatystoma fasciatus
421,*ʔõ̌ʔ,tambuatá,Hoplosternum littorale
422,*p’ôj,traíra,Hoplias sp.
423,*pecʼoʔ,escama,
424,*'dĩ̌woʔ,isca,
425,*jecʼ,piolho-de-peixe,
426,*ʔãho,eu,
427,*ʔãbo,você,
428,*tiho,ele,
429,*tĩ̌do,nós,
430,*nɯ̃kʼoʔ,vocês,
431,*hĩtʼo,eles,
432,*hĩdĩʔ,como (inter.),
433,*dãho,não 1,
434,*bãʔi,não 2,
435,*bãho,reportativo,
436,*cʼaho,amargo,
437,*bãcʼih,azedo 1,
438,*kʼi̇̌ji,azedo 2,
439,*dã̌wo,bom,
440,*tɤ̂w,bravo,
441,*bud,"catinga, fedor",
442,*daʔwɤt,comprido 1,
443,*ɾow,comprido 2,
444,*tɤtʼ,cozido,
445,*kʼɤ̂h,doce,
446,*pʼaʔi,duro,
447,*deweʔ,enrolado (fios),
448,*câpo,fino,
449,*jôj,forte,
450,*wěj,fraco 1,
451,*wej,fraco 2,
452,*tǔt,frio 1,
453,*hɤ̂w,frio 2,
454,*pog,grande,
455,*kɤʔ,grosso,
456,*jûtʼ,mole,
457,*-ici,pequeno,
458,*jawikʼo,pesado,
459,*kʼɯ̂ʔ,quente 1,
460,*juʔ,quente 2,
461,*daɾeb,redondo,
462,*jôw,reto,
463,*hɤb,seco,
464,*tǒh,seco (árvore),
465,*tǎwoʔ,sujo,
466,*xupuʔ,verdadeiro,
467,*ʔɯpʼ,vivo,
468,*tɯ̌b,dois,
469,*kʼukʼ,feixe 1,
470,*bɔ̂g,feixe 2 (de fios),
471,*tût,metade,
472,*bǎbaʔ,"par, companheiro",
473,*pʽako,pedaço,
474,*wop,plural 1,
475,*wap,plural 2,
476,*bĩ̂c,jabuti 1,Geochelone denticulata
477,*bãtuk’,jabuti 2,Geochelone denticulate
478,*ʔow,calango (sp.),
479,*ʔawɯ̂ʔ,cobra (sp.),
480,*xâti,jacaré (genérico),
481,*xɤ̌ʔ,jacaré (sp.),
482,*p’ǎwo,jararaca 1,Bothrops sp.
483,*tɤghĩ̌jo,jararaca 2,Bothrops sp.
484,*cʼapʼǔcuʔ,lagarto (sp.),
485,*xâgi,surucucu,Lachesis muta
486,*cɤʔwɤb,tamaquaré (sp.),
487,*tẽ̂d,agora,
488,*tê,ainda,
489,*wag,dia 1,
490,*ʔatʼɯpʼ,dia 2,
491,*cʼebo,noite,
492,*cʼã̌bi,ontem,
493,*tʼũʔ,tarde,
494,*ɾajaʔ,anzol,
495,*kaɾabaʔ,arco 1,
496,*kʼig,arco 2,
497,*pãj,bagagem,
498,*xôh,canoa,
499,*bã̂jo,"casa 1, buraco",
500,*top,casa 2,
501,*ceʔ≠bãcʼ,cesto 1,
502,*pʼɤjo,cesto 2ª,
503,*bãjǒɾ,colar,
504,*hẽ̌h,cousa,
505,*pʼoʔ,cuia 1,
506,*ʔɤk,cuia 2,
507,*tego,escopeta,
508,*bɔ̃jwɤ̂kʼ,espelho 1,
509,*jehpow,espelho 2,
510,*wã̌d,facão,
511,*pĩ̌h,flauta,
512,*kʼâʔi,gancho,
513,*wapʼ,jirau,
514,*bã̂bo,machado,
515,*pʼokʼ,panela 1,
516,*caɾêj,panela 2,
517,*põ̂t,peconha,
518,*pɤ̂c,pente,
519,*bõjdõ̌h,porta,
520,*hɯ̃̌p,ralo,
521,*jagi,rede,
522,*jûd,roupa,
523,*hêjeʔ,tesoura,
524,*pʼâkʼ,zarabatana 1,
525,*côw,zarabatana 2,
526,*pʼâhi,árvore (genérico),
527,*kawatʼ,escorrega-macaco; algodão 1 (sp.),Peltogyne paniculata
528,*cawuki,algodão 2 (sp.),
529,*jub,cipó (genérico),
530,*ʔewêk’o,cipó-de-imbé,Philodendron imbe
531,*caɾǒp,cipó (sp.),
532,*tuʔ,coca,Erythroxylum coca
533,*c’akot’,embaúba 1,Cecropia sp.
534,*p’ôh,embaúba 2,Cecropia sp.
535,*cɯ̂p,embira 1,família das anonáceas
536,*cěh,embira 2,família das anonáceas
537,*p’ɤ̂w,escorrega-macaco,Peltogyne paniculata
538,*p’ɤ̂h,sorva,Couma sp.
539,*hũ̂t,tabaco,Nicotiana tabacum
540,*t’ûc,timbó (genérico),plantas ictiotóxicas
541,*p’op’,tururi,Sterculia sp.
542,*pʼokʼ,casca,
543,*cʼã̂to,cerne 1,
544,*cɤcɤ̂w,cerne 2,
545,*ʔutʼ,espinho,
546,*cʼôh,flor,
547,*kʼâti,folha,
548,*ti̇̂c,raiz 1,
549,*kob,raiz 2,
550,*tɯb,semente 1,
551,*wɤ̂g,semente 2,
552,*ʔagi,fruta (genérico),
553,*jôj,abacaxi,Ananas sativus
554,*bãwã̌t’,abacaxi,Ananas comosus
555,*cěreʔ,banana 1,Musa sp.
556,*pɯhɯ̌t,banana 2,Musa sp.
557,*pãdã̌raʔ,banana 3,Musa sp.
558,*jãhãb,caju,Anacardium sp.
559,*buhuh,cucura 1,Pourouma cecropiaefolia
560,*tarapǔʔ,cucura 2,Pourouma cecropiaefolia
561,*piʔ,ingá 1,Inga sp.
562,*bĩ̂d,ingá 2,Inga sp.
563,*dôgo,ira-pixuna,Coccoloba pixuna
564,*jawak’o,japurá,Erisma japura
565,*bãʔo,ucuqui,Neea sp.
566,*bãdãk’,açaí,Euterpe sp.
567,*wakwǒh,bacaba 1,Oenocarpus sp.
568,*cawîbo,bacaba 2,Oenocarpus sp.
569,*c’âk’o,buriti,Mauritia flexuosa
570,*poj,caranã,Mauritia sp.
571,*wako,patauá,Oenocarpus bataua
572,*c’ɯ̂w,pupunha 1,Bactris gasipaes
573,*jɤ̌ʔ,pupunha 2,Bactris gasipaes
574,*ʔĩ̌do,cará 1,Dioscorea sp.
575,*c’ãh,cará 2,Dioscorea sp.
576,*pɤp’ɤʔ,cogumelo (sp.),
577,*jâk’,mandioca,Manihot utilissima
578,*kow,pimenta 1,Capsicum sp.
579,*pôh,pimenta 2,Capsicum sp.
580,*hɤ̂w,urucum,Bixa sp.
581,*takʼo,borracha,
582,*cɤ̌x,carvão,
583,*tuh,cinzas 1,
584,*ʔôj,cinzas 2,
585,*têgo,designativo de árvores,
586,*tito,em forma de fio (cipó),
587,*xâjo,floresta,
588,*tʼuh,lenha,
589,*dɯtʼ,toco,
590,*dãb,veneno 1,Strychnos sp.
591,*pɯ̌b,veneno 2 (sp.),
