index,FORM,Gloss
802,*uma-,"water, to drink"
808,*uqi,"grey, brown"
810,*uqu-,"to swallow, gobble up, devour"
812,*uraqi,"earth, soil, land"
813,*urkʰu,female garment
814,*urpʰu,"cloud, mist, fog"
816,*urqu,male
817,*uru,day
819,*usu-,to become sick
821,*uta,"house, dwelling"
822,*uta-,"to be, exist, live, sit"
825,*uyu,corral
826,*uywa-,"domestic animal, to raise an animal"
830,*waka,"belt, sash"
831,*wakča,"poor, orphan"
833,*wala-,to run
834,*waʎpa,bird species
835,*waʎqa,"necklace, necktie"
838,*wani-,"repentance, fear, to repent, reform, amend, fear "
839,*wankara,drum type
842,*wanu,guano
845,*waqi- ~ *waki-,"to coordinate action or labor, to allocate responsibility and profit"
847,*waqra,horn
850,*waranqa,thousand
852,*warmi,"woman, wife"
856,*waša,"place, desolate place"
858,*wata-,"to mend, darn, patch"
859,*wata-,"to extend legs, kick"
862,*wawa,"child (of mother), baby"
864,*wayka-,"to grab, gang up on, compete"
867,*wayna,"young man, lover"
868,*waynu,"dance type, to dance"
871,*waywa ~ *wayra,wind
872,*wičinka,tail
873,*wiču,"tibia, radius, thin"
875,*wihira,"drool, saliva"
876,*wika-,"to rip, pull apart"
882,*winku-,"to lie down, lean, crouch"
885,*wiqru,"lame, with an injured foot, bowlegged, twisted, with a crick in the neck"
886,*wila,blood
889,*wiru,"cane, stalk"
890,*wiskača,rodent species
892,*wišʎa,ladle
894,*witʰu,cropped tail
895,*yati-,"to know (facts or how to), learn, reside"
898,*yana,black
899,*yana,"companion, servant"
900,*yanqʰa ~ *ñanqʰa,"in vain, for no reason, devil, adversary"
902,*yapa-,"a bit more, to add a bit more"
903,*yapu,agricultural plot
904,*yaqʰa,"other, different"
911,*yuqa,son
912,*yuqaʎa,boy
913,*yuqtʂa,daughter-in-law
