index,FORM,Gloss
835,*waʎqa-,"‘necklace, pendant, to hang around the neck’"
836,*wampu-,"‘raft, to float, navigate boat, swim’"
837,*wamra,‘child’
838,*wana-,"‘repentance, fear, to repent, reform, amend, fear’"
840,*wanku-,"‘to wrap, bundle, bandage’"
841,*wantu-,‘to carry among two or more people’
842,*wanu,‘guano’
843,*wañu-,"‘to die, wilt, lose consciousness, pass away’"
844,*waqa-,"‘to cry, wail’"
846,*waqʎi-,"‘to slip off, go astray, become corrupted’"
847,*waqra-,"‘horn, to gore’"
848,*waqta,"‘flank, side, ribs’"
849,*waraka,"‘sling, slingshot’"
850,*waranqa,‘thousand’
851,*warku-,"‘to hang up, to be hung up’"
852,*warmi,"‘woman, wife’"
853,*wasi,‘house’
854,*waska,‘rope’
855,*waša,‘back (body part)’
857,*wata,‘year’
858,*wata-,"‘to tie, repair’"
860,*watu-,"‘to divine, visit, miss a person’"
861,*watu,"‘cord, strap’"
862,*wawa,"‘child (of mother), baby’"
863,*wawqi,‘brother of man’
864,*wayka-,"‘to collaborate, gang up on’"
865,*wayʎa,"‘meadow, prairie, grass’"
866,*wayʎu-,"‘to love, express affection, caress’"
867,*wayna,"‘young man, lover’"
869,*wayta,‘flower’
870,*wayunka,‘ear of corn hung up to dry’
871,*waywa ~ *wayra,‘wind’
874,*witʂqa-,"‘to close, enclose’"
877,*wika(pa)-,‘to throw into the air’
878,*wiksa,"‘belly, abdomen’"
879,*wiksu,"‘twisted, cross-eyed, bowlegged’ "
880,*wiʎa-,"‘to tell, inform’"
881,*wiʎka,"‘grandchild, idol’"
883,*wiña-,"‘to grow, sprout, develop, increase’"
884,*wiqi,"‘tear, teardrop’"
885,*wiqru,"‘lame, with an injured foot, bowlegged, twisted’"
886,*wira,"‘fat, grease’"
887,*wiraquča,‘Andean deity’
888,*wirpa,‘lip’
889,*wiru,"‘cane, reed’"
891,*wiši-,"‘to pour, collect, transfer liquid or grains’"
892,*wišʎa,‘ladle’
893,*wištu-,"‘twisted, crippled, to hobble, limp’"
895,*yatʂa-,"‘to know (facts or how to), learn, reside’"
896,*yaku,‘water’
897,*yamta,‘firewood’
898,*yana,‘black’
899,*yana(pa)-,"‘to help, accompany’"
900,*yanqa,"‘in vain, for no reason’"
901,*yanu-,"‘to cook, stew’"
902,*yapa-,"‘a bit more, to add a bit more, repeat’"
905,*yawar,‘blood’
906,*yaya,‘father’
907,*yayku-,‘to enter’
908,*yunka,‘lowlands east or west of the Andes’
909,*yupa-,‘to count’
910,*yupi,‘footstep’
914,*yura,‘plant’
915,*yuraq,‘white’
916,*yutu,‘partridge’
917,*yuyu,"‘tender, bud, shoot, green vegetable’"
