Family,Language,Glottocode,Gloss,Phonemicized Form
Chicham,Proto-Shuar,,piedra áspera; rocas,*muchíngki
Chicham,Proto-Shuar,,olla grande,*muwitsa
Chicham,Proto-Shuar,,"fumar, chupar; humo, nubes",*mukú-
Chicham,Proto-Shuar,,piojo de gallina; pulga,*mukútsapa
Chicham,Proto-Shuar,,sapo,*mukúntu
Chicham,Proto-Shuar,,"leche, teta",*múntsu
Chicham,Proto-Shuar,,"cerro, loma",*múnga
Chicham,Proto-Shuar,,cabeza,*muu(ké)
Chicham,Proto-Shuar,,nombre,*naa
Chicham,Proto-Shuar,,joven,*nátsa
Chicham,Proto-Shuar,,hacer cosas,*na(há-na-)
Chicham,Proto-Shuar,,"dolor, doler",*nahá-na-
Chicham,Proto-Shuar,,diente,*nái
Chicham,Proto-Shuar,,esperar,*náka-
Chicham,Proto-Shuar,,"tajar, rajar leña; hender",*naká-
Chicham,Proto-Shuar,,"imitar; retrato, foto",*naku-
Chicham,Proto-Shuar,,pescado,*namáka
Chicham,Proto-Shuar,,carne,*namángke
Chicham,Proto-Shuar,,lombriz,*námpicha
Chicham,Proto-Shuar,,bailar; borracho; festín,*nampé
Chicham,Proto-Shuar,,volar; ala,*naná-
Chicham,Proto-Shuar,,uña,*nanchíki
Chicham,Proto-Shuar,,luna,*nántu
Chicham,Proto-Shuar,,"causar, origen",*nangká-
Chicham,Proto-Shuar,,lanza,*nángki
Chicham,Proto-Shuar,,culebra,*nápi
Chicham,Proto-Shuar,,viento,*nase
Chicham,Proto-Shuar,,ayahuasca,*natéma
Chicham,Proto-Shuar,,máscara,*nawátaa
Chicham,Proto-Shuar,,pie,*náwe
Chicham,Proto-Shuar,,cielo,*nayáimpi
Chicham,Proto-Shuar,,"alto, grande",*(na)yau
Chicham,Proto-Shuar,,"él, ella",*nii
Chicham,Proto-Shuar,,lavar,*nihá-
Chicham,Proto-Shuar,,frente,*nihái
Chicham,Proto-Shuar,,ellos,*níta
Chicham,Proto-Shuar,,pecho,*netsépe
Chicham,Proto-Shuar,,saber; verdad,*neká-
Chicham,Proto-Shuar,,colgar,*ne-
Chicham,Proto-Shuar,,aquel,*nu
Chicham,Proto-Shuar,,crecer un río,*nuhá-
Chicham,Proto-Shuar,,nariz,*núhí
Chicham,Proto-Shuar,,huevo,*nuhíntu
Chicham,Proto-Shuar,,hoja,*núka
Chicham,Proto-Shuar,,mucho,*núkape
Chicham,Proto-Shuar,,madre,*núku
Chicham,Proto-Shuar,,sangre,*númpa
Chicham,Proto-Shuar,,tierra,*núngka
Chicham,Proto-Shuar,,hierba,*nupa
Chicham,Proto-Shuar,,maní,*núse
Chicham,Proto-Shuar,,mujer; esposa; casarse con mujer,*núwa
Chicham,Proto-Shuar,,arcilla,*núwe
Chicham,Proto-Shuar,,hueco,*waa
Chicham,Proto-Shuar,,perdiz,*waga
Chicham,Proto-Shuar,,bostezar,*waani-
Chicham,Proto-Shuar,,ponerse de pie,*wahá-
Chicham,Proto-Shuar,,cuñado de mujer,*wahé
Chicham,Proto-Shuar,,ver; encontrar,*wai-
Chicham,Proto-Shuar,,entrar,*wa(i)-
Chicham,Proto-Shuar,,sufrir,*wái-
Chicham,Proto-Shuar,,subir,*(wa)ká-
