ORIGINAL_GLOSS	CONCEPT	CONCEPTICON_ID	LANGUAGE_NAME	DOCULECT	FAMILY	FORM	TOKENS
equivocarse	ERR	839.0	Proto-Guaicuru	guai1249	Guaicuruan	patˀa	p a tˀ a
to err	ERR	839.0	Proto-Quechuan	quec1387	Quechuan	panta	p a n t a
escape	ESCAPE	1615.0	Proto-Quechuan	quec1387	Quechuan	qiʃpi	q i ʃ p i
to escape	ESCAPE	1615.0	Proto-Zaparoan	zapa1251	Zaparoan	masi	m a s i
noche	EVENING	1629.0	Proto-Guaicuru	guai1249	Guaicuruan	ˀnoʔále	ˀn o ʔ á l e
tarde	EVENING	1629.0	Proto-Shuar	jiva1245	Chicham	kiyánga	k iyá n g a
tarde	EVENING	1629.0	Proto-Shuar	jiva1245	Chicham	ángku	á n g k u
each	EVERY (EACH)	3416.0	Proto-Quechuan	quec1387	Quechuan	sapa	s a p a
replace	EXCHANGE	2509.0	Proto-Quechuan	quec1387	Quechuan	ranti	r a n t i
to explode	EXPLODE	3976.0	Proto-Chapacuran	chap1271	Chapacuran	top	t o p
explotar	EXPLODE	3976.0	Proto-Guaicuru	guai1249	Guaicuruan	atˀepˀi	a tˀ e pˀ i
to put out	EXTINGUISH	127.0	Proto-Chapacuran	chap1271	Chapacuran	ʔijoʔ	ʔ i j o ʔ
apagar	EXTINGUISH	127.0	Proto-Guaicuru	guai1249	Guaicuruan	ʔemate	ʔ e m a t e
to put out	EXTINGUISH	127.0	Proto-Panoan	pano1256	Panoan	noka	n o k a
extinguish	EXTINGUISH	127.0	Proto-Quechuan	quec1387	Quechuan	quʎu	q u ʎ u
eye	EYE	1248.0	Proto-Arawakan	araw1281	Arawakan	lʊkɨ	l ʊ k ɨ
eye	EYE	1248.0	Proto-Aymara	ayma1253	Aymaran	nayra	n ay r a
eye	EYE	1248.0	Proto-Chapacuran	chap1271	Chapacuran	tok	t o k
eye	EYE	1248.0	Proto-Chibchan	chib1249	Chibchan	úb	ú b
ojo	EYE	1248.0	Proto-Chocoan	choc1280	Chocoan	daˈbu	d a ˈb u
eye	EYE	1248.0	Proto-Guahiboan	guah1252	Guahiboan	takhú	t a k h ú
ojo	EYE	1248.0	Proto-Guaicuru	guai1249	Guaicuruan	qekˀege	q e kˀ e g e
olho	EYE	1248.0	Proto-Naduhup	nada1235	Naduhup	bãtɯb	b ã t ɯ b
eye	EYE	1248.0	Proto-Panoan	pano1256	Panoan	βɨɽo	β ɨ ɽ o
eye	EYE	1248.0	Proto-Quechuan	quec1387	Quechuan	ɲawi	ɲ a w i
sobrancelha	EYEBROW	1173.0	Proto-Naduhup	nada1235	Naduhup	kʼɤ̂d	kʼ ɤ̂ d
eyebrows	EYEBROW	1173.0	Proto-Panoan	pano1256	Panoan	βɨʂko	β ɨ ʂ k o
eyebrows	EYEBROW	1173.0	Proto-Panoan	pano1256	Panoan	βɨʂpi	β ɨ ʂ p i
frente	EYEBROW	1173.0	Proto-Shuar	jiva1245	Chicham	nihái	n i h ái
pestaña	EYELASH	1540.0	Proto-Guaicuru	guai1249	Guaicuruan	aˀde	aˀ d e
face	FACE	1560.0	Proto-Chapacuran	chap1271	Chapacuran	natan	n a t a n
face	FACE	1560.0	Proto-Chibchan	chib1249	Chibchan	uˈbə́	u ˈb ə́
cara	FACE	1560.0	Proto-Chocoan	choc1280	Chocoan	kĩɾa	k ĩ ɾ a
cara	FACE	1560.0	Proto-Guaicuru	guai1249	Guaicuruan	atˀáp	a tˀ á p
rosto	FACE	1560.0	Proto-Macro-Je	nucl1710	Macro-Jean	cok	c o k
face	FACE	1560.0	Proto-Panoan	pano1256	Panoan	βɨmãnan	β ɨ m ã n a n
face	FACE	1560.0	Proto-Panoan	pano1256	Panoan	βɨ	β ɨ
cara	FACE	1560.0	Proto-Shuar	jiva1245	Chicham	yápi	yá p i
	FACE	1560.0	Proto-Tucanoan	tuca1253	Tucanoan	tsʔ.i.a	tsˀ i a
excrement	FAECES (EXCREMENT)	675.0	Proto-Arawakan	araw1281	Arawakan	idika	i d i k a
feces	FAECES (EXCREMENT)	675.0	Proto-Aymara	ayma1253	Aymaran	hama	h a m a
excrements	FAECES (EXCREMENT)	675.0	Proto-Chapacuran	chap1271	Chapacuran	ʔamon	ʔ a m o n
excrement	FAECES (EXCREMENT)	675.0	Proto-Chibchan	chib1249	Chibchan	ˈgã́	ˈg ã́
fezes	FAECES (EXCREMENT)	675.0	Proto-Naduhup	nada1235	Naduhup	jâʔi	j â ʔ i
faeces	FAECES (EXCREMENT)	675.0	Proto-Panoan	pano1256	Panoan	poʔi	p o ʔ i
excremento	FAECES (EXCREMENT)	675.0	Proto-Shuar	jiva1245	Chicham	íha	í h a
	FAECES (EXCREMENT)	675.0	Proto-Tucanoan	tuca1253	Tucanoan	kʔ.ɨ.tʔ.a	kˀ ɨ tˀ a
to fall	FALL	1280.0	Proto-Aymara	ayma1253	Aymaran	hala	h a l a
to fall	FALL	1280.0	Proto-Aymara	ayma1253	Aymaran	tinki	t i n k i
to fall down	FALL	1280.0	Proto-Aymara	ayma1253	Aymaran	tʂapa	t ʂ a p a
to fall	FALL	1280.0	Proto-Chapacuran	chap1271	Chapacuran	ʔipan	ʔ i p a n
caer	FALL	1280.0	Proto-Chocoan	choc1280	Chocoan	ˈβae	ˈβ ae
caer	FALL	1280.0	Proto-Guaicuru	guai1249	Guaicuruan	akˀaˀgi	a kˀ aˀ g i
caer	FALL	1280.0	Proto-Guaicuru	guai1249	Guaicuruan	ani	a n i
caer	FALL	1280.0	Proto-Guaicuru	guai1249	Guaicuruan	ʔotsitˀiˀni	ʔ o t s i tˀ iˀ n i
cair	FALL	1280.0	Proto-Naduhup	nada1235	Naduhup	dõk	d õ k
to fall	FALL	1280.0	Proto-Panoan	pano1256	Panoan	pakɨt	p a k ɨ t
fall	FALL	1280.0	Proto-Quechuan	quec1387	Quechuan	rata	r a t a
caer	FALL	1280.0	Proto-Shuar	jiva1245	Chicham	iyá	iyá
familia	FAMILY	194.0	Proto-Guaicuru	guai1249	Guaicuruan	óˀjik	óˀ j i k
familia	FAMILY	194.0	Proto-Guaicuru	guai1249	Guaicuruan	ˀwatˀa	ˀw a tˀ a
abanar	FAN (ACTION)	360.0	Proto-Naduhup	nada1235	Naduhup	heboʔ	h e b o ʔ
far away	FAR	1406.0	Proto-Aymara	ayma1253	Aymaran	haya	h aya
far	FAR	1406.0	Proto-Guahiboan	guah1252	Guahiboan	tahɨ	t a h ɨ
distante	FAR	1406.0	Proto-Guaicuru	guai1249	Guaicuruan	tʃo	t ʃ o
far away	FAR	1406.0	Proto-Quechuan	quec1387	Quechuan	karu	k a r u
lejos	FAR	1406.0	Proto-Shuar	jiva1245	Chicham	angá	a n g á
	FAR	1406.0	Proto-Tucanoan	tuca1253	Tucanoan	tsʔ.o.a	tsˀ o a
farm	FARM	201.0	Proto-Panoan	pano1256	Panoan	wai	w ai
chacra	FARM	201.0	Proto-Shuar	jiva1245	Chicham	áha	á h a
fart	FART	1159.0	Proto-Aymara	ayma1253	Aymaran	sira	s i r a
to fart	FART	1159.0	Proto-Chapacuran	chap1271	Chapacuran	pon	p o n
pedo	FART	1159.0	Proto-Guaicuru	guai1249	Guaicuruan	witˀi	w i tˀ i
fart	FART	1159.0	Proto-Quechuan	quec1387	Quechuan	supi	s u p i
rápido	FAST	1631.0	Proto-Guaicuru	guai1249	Guaicuruan	pˀadi	pˀ a d i
rápido	FAST	1631.0	Proto-Guaicuru	guai1249	Guaicuruan	ʔawe	ʔ a w e
rápido	FAST	1631.0	Proto-Shuar	jiva1245	Chicham	wángi	w á n g i
to tie	FASTEN	1094.0	Proto-Quechuan	quec1387	Quechuan	kipu	k i p u
to tie	FASTEN	1094.0	Proto-Quechuan	quec1387	Quechuan	wata	w a t a
to tie	FASTEN	1094.0	Proto-Zaparoan	zapa1251	Zaparoan	maraw	m a r a w
to fast	FASTING	3331.0	Proto-Panoan	pano1256	Panoan	sama	s a m a
to fast	FASTING	3331.0	Proto-Quechuan	quec1387	Quechuan	maʎa	m a ʎ a
fat	FAT (FROM ANIMALS)	1282.0	Proto-Aymara	ayma1253	Aymaran	liki	l i k i
fat	FAT (FROM ANIMALS)	1282.0	Proto-Chapacuran	chap1271	Chapacuran	kaɾaʔ	k a ɾ a ʔ
fat	FAT (FROM ANIMALS)	1282.0	Proto-Chapacuran	chap1271	Chapacuran	hʷaɾaʔ	hʷ a ɾ a ʔ
fat	FAT (FROM ANIMALS)	1282.0	Proto-Chapacuran	chap1271	Chapacuran	mapom	m a p o m
grease	FAT (FROM ANIMALS)	1282.0	Proto-Chibchan	chib1249	Chibchan	ˈkiə́	ˈk iə́
grease	FAT (FROM ANIMALS)	1282.0	Proto-Guahiboan	guah1252	Guahiboan	nasítsi	n a s í t s i
grease	FAT (FROM ANIMALS)	1282.0	Proto-Guahiboan	guah1252	Guahiboan	wa	w a
grasa	FAT (FROM ANIMALS)	1282.0	Proto-Guaicuru	guai1249	Guaicuruan	apijó	a p i j ó
fat	FAT (FROM ANIMALS)	1282.0	Proto-Panoan	pano1256	Panoan	ʂɨni	ʂ ɨ n i
grease	FAT (FROM ANIMALS)	1282.0	Proto-Quechuan	quec1387	Quechuan	wira	w i r a
fat	FAT (OBESE)	1279.0	Proto-Chapacuran	chap1271	Chapacuran	kaɾaʔ	k a ɾ a ʔ
fat	FAT (OBESE)	1279.0	Proto-Chapacuran	chap1271	Chapacuran	hʷaɾaʔ	hʷ a ɾ a ʔ
fat	FAT (OBESE)	1279.0	Proto-Chapacuran	chap1271	Chapacuran	mapom	m a p o m
gordo	FAT (OBESE)	1279.0	Proto-Guaicuru	guai1249	Guaicuruan	otˀjaqa	o tˀ j a q a
ser gordo	FAT (OBESE)	1279.0	Proto-Matacoan	mata1289	Matacoan	ʌtax	ʌ t a x
fat	FAT (OBESE)	1279.0	Proto-Panoan	pano1256	Panoan	ʂɨni	ʂ ɨ n i
gordura	FAT (ORGANIC SUBSTANCE)	323.0	Proto-Macro-Je	nucl1710	Macro-Jean	tum	t u m
fat	FAT (ORGANIC SUBSTANCE)	323.0	Proto-Quechuan	quec1387	Quechuan	wira	w i r a
fat	FAT (ORGANIC SUBSTANCE)	323.0	Proto-Zaparoan	zapa1251	Zaparoan	iɾisi	i ɾ i s i
destino	FATE	1688.0	Proto-Guaicuru	guai1249	Guaicuruan	ikˀjaq	i kˀ j a q
father	FATHER	1217.0	Proto-Chibchan	chib1249	Chibchan	ˈkáka	ˈk á k a
father	FATHER	1217.0	Proto-Guahiboan	guah1252	Guahiboan	páxa	p á x a
padre	FATHER	1217.0	Proto-Guaicuru	guai1249	Guaicuruan	ˀjod	ˀj o d
papá	FATHER	1217.0	Proto-Guaicuru	guai1249	Guaicuruan	tˀaʔá	tˀ a ʔ á
pai	FATHER	1217.0	Proto-Macro-Je	nucl1710	Macro-Jean	jo₂m	j o ₂ m
father	FATHER	1217.0	Proto-Panoan	pano1256	Panoan	papa	p a p a
father	FATHER	1217.0	Proto-Quechuan	quec1387	Quechuan	yaya	yaya
	FATHER	1217.0	Proto-Tucanoan	tuca1253	Tucanoan	p.a.k.ɨ	p a k ɨ
father-in-law	FATHER-IN-LAW	1055.0	Proto-Chapacuran	chap1271	Chapacuran	ʔapiː	ʔ a p iː
suegro	FATHER-IN-LAW	1055.0	Proto-Chocoan	choc1280	Chocoan	tʃai	t ʃ ai
fear	FEAR (BE AFRAID)	1419.0	Proto-Aymara	ayma1253	Aymaran	wani	w a n i
to fear	FEAR (BE AFRAID)	1419.0	Proto-Chapacuran	chap1271	Chapacuran	ʔijinˀ	ʔ i j i nˀ
temer	FEAR (BE AFRAID)	1419.0	Proto-Guaicuru	guai1249	Guaicuruan	óʔi	ó ʔ i
temer	FEAR (BE AFRAID)	1419.0	Proto-Guaicuru	guai1249	Guaicuruan	ʔetsˀi	ʔ e t sˀ i
temer	FEAR (BE AFRAID)	1419.0	Proto-Naduhup	nada1235	Naduhup	ʔã̂bo	ʔ ã̂ b o
to be afraid	FEAR (BE AFRAID)	1419.0	Proto-Panoan	pano1256	Panoan	ɽaʔtɨ	ɽ a ʔ t ɨ
to be afraid of	FEAR (BE AFRAID)	1419.0	Proto-Panoan	pano1256	Panoan	ɽakʷɨ	ɽ a kʷ ɨ
be afraid	FEAR (BE AFRAID)	1419.0	Proto-Quechuan	quec1387	Quechuan	mant͡ʃa	m a n t͡ʃ a
fear	FEAR (BE AFRAID)	1419.0	Proto-Quechuan	quec1387	Quechuan	wana	w a n a
fear	FEAR (FRIGHT)	781.0	Proto-Chapacuran	chap1271	Chapacuran	ʔijinˀ	ʔ i j i nˀ
miedo	FEAR (FRIGHT)	781.0	Proto-Guaicuru	guai1249	Guaicuruan	awela	a w e l a
miedo	FEAR (FRIGHT)	781.0	Proto-Guaicuru	guai1249	Guaicuruan	óʔi	ó ʔ i
miedo	FEAR (FRIGHT)	781.0	Proto-Guaicuru	guai1249	Guaicuruan	ʔetsˀi	ʔ e t sˀ i
fear	FEAR (FRIGHT)	781.0	Proto-Quechuan	quec1387	Quechuan	wana	w a n a
to scare	FEAR OR FRIGHTEN	2109.0	Proto-Quechuan	quec1387	Quechuan	mant͡ʃa	m a n t͡ʃ a
plumage	FEATHER	1201.0	Proto-Aymara	ayma1253	Aymaran	t͡ʃunt͡ʃu	t͡ʃ u n t͡ʃ u
feather	FEATHER	1201.0	Proto-Panoan	pano1256	Panoan	pɨʔi	p ɨ ʔ i
pluma	FEATHER	1201.0	Proto-Shuar	jiva1245	Chicham	únge	ú n g e
alimentar	FEED	739.0	Proto-Shuar	jiva1245	Chicham	ayú	ayú
to feel	FEEL	1079.0	Proto-Panoan	pano1256	Panoan	mɨʔɨ	m ɨ ʔ ɨ
feel	FEEL (TACTUALLY)	2559.0	Proto-Aymara	ayma1253	Aymaran	ʎamkʰa	ʎ a m kʰ a
feel	FEEL (TACTUALLY)	2559.0	Proto-Quechuan	quec1387	Quechuan	ʎamka	ʎ a m k a
sore	FEELING SORE	3708.0	Proto-Quechuan	quec1387	Quechuan	ʎiʎi	ʎ i ʎ i
female	FEMALE	1551.0	Proto-Quechuan	quec1387	Quechuan	tʂina	t ʂ i n a
	FEMALE	1551.0	Proto-Tucanoan	tuca1253	Tucanoan	kʔ.o	kˀ o
younger female cousin	FEMALE COUSIN	3823.0	Proto-Aymara	ayma1253	Aymaran	t͡ʃinki	t͡ʃ i n k i
fenced enclosure	FENCE	1690.0	Proto-Aymara	ayma1253	Aymaran	qintʂa	q i n t ʂ a
fence	FENCE	1690.0	Proto-Chapacuran	chap1271	Chapacuran	tawit	t a w i t
to ferment	FERMENT	3652.0	Proto-Aymara	ayma1253	Aymaran	put͡ʃqu	p u t͡ʃ q u
to ferment	FERMENT	3652.0	Proto-Chapacuran	chap1271	Chapacuran	toɾoː	t o ɾ oː
to ferment	FERMENT	3652.0	Proto-Quechuan	quec1387	Quechuan	put͡ʃqu	p u t͡ʃ q u
fiesta	FESTIVAL	131.0	Proto-Guaicuru	guai1249	Guaicuruan	ikˀiˀjaqe	i kˀ iˀ j a q e
to fetch	FETCH	3551.0	Proto-Panoan	pano1256	Panoan	βɨ	β ɨ
fiebre	FEVER	1534.0	Proto-Chocoan	choc1280	Chocoan	kɯˈwa	k ɯ ˈw a
fiebre	FEVER	1534.0	Proto-Chocoan	choc1280	Chocoan	kɯwamia	k ɯ w a m ia
cultivated clearing	FIELD	212.0	Proto-Guahiboan	guah1252	Guahiboan	pábi	p á b i
campo	FIELD	212.0	Proto-Guaicuru	guai1249	Guaicuruan	nepˀodek	n e pˀ o d e k
meadow	FIELD	212.0	Proto-Quechuan	quec1387	Quechuan	wayʎa	w ay ʎ a
to fight	FIGHT	1423.0	Proto-Aymara	ayma1253	Aymaran	hayt͡ʃa	h ay t͡ʃ a
luchar	FIGHT	1423.0	Proto-Guaicuru	guai1249	Guaicuruan	aqˀawo	a qˀ a w o
luchar	FIGHT	1423.0	Proto-Guaicuru	guai1249	Guaicuruan	lóke	l ó k e
to fill	FILL	2006.0	Proto-Quechuan	quec1387	Quechuan	hunta	h u n t a
llenar	FILL	2006.0	Proto-Shuar	jiva1245	Chicham	shíta	s h í t a
to find	FIND	719.0	Proto-Aymara	ayma1253	Aymaran	akʰi	a kʰ i
find	FIND	719.0	Proto-Chibchan	chib1249	Chibchan	ˈkũ	ˈk ũ
encontrar	FIND	719.0	Proto-Guaicuru	guai1249	Guaicuruan	qˀate	qˀ a t e
encontrar	FIND	719.0	Proto-Naduhup	nada1235	Naduhup	wɯtʼ	w ɯ tʼ
to find	FIND	719.0	Proto-Panoan	pano1256	Panoan	mɨɽa	m ɨ ɽ a
to find	FIND	719.0	Proto-Quechuan	quec1387	Quechuan	tari	t a r i
thin	FINE OR THIN	2157.0	Proto-Aymara	ayma1253	Aymaran	wit͡ʃu	w i t͡ʃ u
thin	FINE OR THIN	2157.0	Proto-Panoan	pano1256	Panoan	βɨʂnan	β ɨ ʂ n a n
finger	FINGER	1303.0	Proto-Guahiboan	guah1252	Guahiboan	kobesí	k o b e s í
finger	FINGER	1303.0	Proto-Guahiboan	guah1252	Guahiboan	tíya	t íya
dedo	FINGER	1303.0	Proto-Guaicuru	guai1249	Guaicuruan	átˀe	á tˀ e
finger	FINGER	1303.0	Proto-Panoan	pano1256	Panoan	mɨtoti	m ɨ t o t i
dedo	FINGER	1303.0	Proto-Shuar	jiva1245	Chicham	tsánga	t s á n g a
fingernail	FINGERNAIL	1258.0	Proto-Panoan	pano1256	Panoan	mɨ̃tsis	m ɨ̃ t s i s
nail	FINGERNAIL OR TOENAIL	1896.0	Proto-Arawakan	araw1281	Arawakan	tsʊta	t s ʊ t a
nail	FINGERNAIL OR TOENAIL	1896.0	Proto-Arawakan	araw1281	Arawakan	hʊbada	h ʊ b a d a
nail	FINGERNAIL OR TOENAIL	1896.0	Proto-Aymara	ayma1253	Aymaran	ʃiʎu	ʃ i ʎ u
nail	FINGERNAIL OR TOENAIL	1896.0	Proto-Chapacuran	chap1271	Chapacuran	tᶴikinˀ	tᶴ i k i nˀ
nail	FINGERNAIL OR TOENAIL	1896.0	Proto-Panoan	pano1256	Panoan	hõtsis	h õ t s i s
nail	FINGERNAIL OR TOENAIL	1896.0	Proto-Quechuan	quec1387	Quechuan	ʃiʎu	ʃ i ʎ u
uña	FINGERNAIL OR TOENAIL	1896.0	Proto-Shuar	jiva1245	Chicham	nanchíki	n a n c h í k i
to finish	FINISH	1766.0	Proto-Aymara	ayma1253	Aymaran	tuku	t u k u
to finish	FINISH	1766.0	Proto-Chapacuran	chap1271	Chapacuran	tikat	t i k a t
to finish	FINISH	1766.0	Proto-Chapacuran	chap1271	Chapacuran	ʔapiʔ	ʔ a p i ʔ
terminar	FINISH	1766.0	Proto-Guaicuru	guai1249	Guaicuruan	ikod	i k o d
to end	FINISH	1766.0	Proto-Panoan	pano1256	Panoan	kɨyo	k ɨyo
to finish	FINISH	1766.0	Proto-Quechuan	quec1387	Quechuan	tuku	t u k u
acabar	FINISH	1766.0	Proto-Shuar	jiva1245	Chicham	amú	a m ú
acabar de hacer	FINISH	1766.0	Proto-Shuar	jiva1245	Chicham	umí	u m í
fire	FIRE	221.0	Proto-Arawakan	araw1281	Arawakan	dikari	d i k a r i
fire	FIRE	221.0	Proto-Aymara	ayma1253	Aymaran	nina	n i n a
fire	FIRE	221.0	Proto-Chapacuran	chap1271	Chapacuran	ʔitᶴeː	ʔ i tᶴ eː
fuego	FIRE	221.0	Proto-Guaicuru	guai1249	Guaicuruan	oˀlét	oˀ l é t
fuego	FIRE	221.0	Proto-Matacoan	mata1289	Matacoan	itʌχ	i t ʌ χ
fogo	FIRE	221.0	Proto-Naduhup	nada1235	Naduhup	têgo	t ê g o
fire	FIRE	221.0	Proto-Panoan	pano1256	Panoan	tʃiʔi	t ʃ i ʔ i
fire	FIRE	221.0	Proto-Quechuan	quec1387	Quechuan	nina	n i n a
to heat	FIRE	221.0	Proto-Quechuan	quec1387	Quechuan	quɲu	q u ɲ u
to heat	FIRE	221.0	Proto-Quechuan	quec1387	Quechuan	quɲi	q u ɲ i
fuego	FIRE	221.0	Proto-Shuar	jiva1245	Chicham	hii	h ii
	FIRE	221.0	Proto-Tucanoan	tuca1253	Tucanoan	p.e.k.a	p e k a
palitos para encender fuego	FIRE STICK	3016.0	Proto-Guaicuru	guai1249	Guaicuruan	ewi	e w i
luciérnaga	FIREFLY	206.0	Proto-Matacoan	mata1289	Matacoan	xʷetenaχ	xʷ e t e n a χ
vaga-lume	FIREFLY	206.0	Proto-Naduhup	nada1235	Naduhup	xûj	x û j
glowworm	FIREFLY	206.0	Proto-Panoan	pano1256	Panoan	kokiʃ	k o k i ʃ
glowworm	FIREFLY	206.0	Proto-Panoan	pano1256	Panoan	kokoʃsi	k o k o ʃ s i
fireplace	FIREPLACE	185.0	Proto-Quechuan	quec1387	Quechuan	tuʎpa	t u ʎ p a
firewood	FIREWOOD	10.0	Proto-Aymara	ayma1253	Aymaran	lawa	l a w a
firewood	FIREWOOD	10.0	Proto-Chapacuran	chap1271	Chapacuran	ʔitᶴeː	ʔ i tᶴ eː
wood for making fire	FIREWOOD	10.0	Proto-Chapacuran	chap1271	Chapacuran	mawin	m a w i n
firewood	FIREWOOD	10.0	Proto-Guahiboan	guah1252	Guahiboan	íso	í s o
leña	FIREWOOD	10.0	Proto-Guaicuru	guai1249	Guaicuruan	ʔipˀwáqo	ʔ i pˀ w á q o
lenha	FIREWOOD	10.0	Proto-Naduhup	nada1235	Naduhup	tʼuh	tʼ u h
firewood	FIREWOOD	10.0	Proto-Panoan	pano1256	Panoan	kaɽo	k a ɽ o
firewood	FIREWOOD	10.0	Proto-Quechuan	quec1387	Quechuan	yamta	ya m t a
leña	FIREWOOD	10.0	Proto-Shuar	jiva1245	Chicham	chíngkimin	c h í n g k i m i n
primero	FIRST	728.0	Proto-Guaicuru	guai1249	Guaicuruan	ʔawe	ʔ a w e
fish	FISH	227.0	Proto-Arawakan	araw1281	Arawakan	kʊpakɨ	k ʊ p a k ɨ
fish	FISH	227.0	Proto-Aymara	ayma1253	Aymaran	t͡ʃaʎwa	t͡ʃ a ʎ w a
fish	FISH	227.0	Proto-Chapacuran	chap1271	Chapacuran	patiʔ	p a t i ʔ
fish species	FISH	227.0	Proto-Chapacuran	chap1271	Chapacuran	tɾawan	t ɾ a w a n
kind of fish	FISH	227.0	Proto-Chapacuran	chap1271	Chapacuran	takawˀ	t a k a wˀ
kind of fish	FISH	227.0	Proto-Chapacuran	chap1271	Chapacuran	ʔowam	ʔ o w a m
pez	FISH	227.0	Proto-Guaicuru	guai1249	Guaicuruan	etʃˀalo	e t ʃˀ a l o
pez	FISH	227.0	Proto-Guaicuru	guai1249	Guaicuruan	kˀoté	kˀ o t é
pez	FISH	227.0	Proto-Guaicuru	guai1249	Guaicuruan	tʃátʃinaqa	t ʃ á t ʃ i n a q a
peixe	FISH	227.0	Proto-Naduhup	nada1235	Naduhup	hã̂po	h ã̂ p o
fish	FISH	227.0	Proto-Panoan	pano1256	Panoan	yapa	ya p a
fish	FISH	227.0	Proto-Quechuan	quec1387	Quechuan	t͡ʃaʎwa	t͡ʃ a ʎ w a
pescado	FISH	227.0	Proto-Shuar	jiva1245	Chicham	kihínu	k i h í n u
pescado	FISH	227.0	Proto-Shuar	jiva1245	Chicham	namáka	n a m á k a
	FISH	227.0	Proto-Tucanoan	tuca1253	Tucanoan	w.a.ʔ.i	w a ʔ i
fish hook	FISHHOOK	1074.0	Proto-Guahiboan	guah1252	Guahiboan	kulupúbo	k u l u p ú b o
anzol	FISHHOOK	1074.0	Proto-Naduhup	nada1235	Naduhup	ɾajaʔ	ɾ a j a ʔ
fishhook	FISHHOOK	1074.0	Proto-Panoan	pano1256	Panoan	miʃkiti	m i ʃ k i t i
pescar	FISHING	2638.0	Proto-Chocoan	choc1280	Chocoan	ɯa	ɯa
	FISHING (WITH A NET)	2639.0	Proto-Tucanoan	tuca1253	Tucanoan	w.a.j.a	w a j a
rede	FISHNET	388.0	Proto-Naduhup	nada1235	Naduhup	jagi	j a g i
	FISHNET	388.0	Proto-Tucanoan	tuca1253	Tucanoan	pʔ.a.p.i	pˀ a p i
fist	FIST	1473.0	Proto-Quechuan	quec1387	Quechuan	apta	a p t a
five	FIVE	493.0	Proto-Aymara	ayma1253	Aymaran	pit͡ʃqa	p i t͡ʃ q a
five	FIVE	493.0	Proto-Quechuan	quec1387	Quechuan	pit͡ʃqa	p i t͡ʃ q a
arreglar	FIX	3074.0	Proto-Guaicuru	guai1249	Guaicuruan	apˀaden	a pˀ a d e n
flank	FLANK	529.0	Proto-Quechuan	quec1387	Quechuan	waqta	w a q t a
flat	FLAT	1633.0	Proto-Aymara	ayma1253	Aymaran	lampa	l a m p a
flat	FLAT	1633.0	Proto-Panoan	pano1256	Panoan	βɨʂnan	β ɨ ʂ n a n
flat	FLAT	1633.0	Proto-Quechuan	quec1387	Quechuan	ʎapt͡ʃa	ʎ a p t͡ʃ a
flat	FLAT	1633.0	Proto-Quechuan	quec1387	Quechuan	ʎapʃa	ʎ a p ʃ a
flea	FLEA	232.0	Proto-Aymara	ayma1253	Aymaran	kutʂi	k u t ʂ i
piojo	FLEA	232.0	Proto-Chocoan	choc1280	Chocoan	ˈtɯ̃	ˈt ɯ̃
pulga	FLEA	232.0	Proto-Guaicuru	guai1249	Guaicuruan	naloqo	n a l o q o
flea	FLEA	232.0	Proto-Quechuan	quec1387	Quechuan	piki	p i k i
huir	FLEE	956.0	Proto-Guaicuru	guai1249	Guaicuruan	ʔilote	ʔ i l o t e
to flee	FLEE	956.0	Proto-Panoan	pano1256	Panoan	haβat	h a β a t
to flee	FLEE	956.0	Proto-Quechuan	quec1387	Quechuan	ayqi	ay q i
to flee	FLEE	956.0	Proto-Zaparoan	zapa1251	Zaparoan	masi	m a s i
flesh	FLESH OR MEAT	2615.0	Proto-Arawakan	araw1281	Arawakan	ɨdɨ	ɨ d ɨ
flesh	FLESH OR MEAT	2615.0	Proto-Aymara	ayma1253	Aymaran	hant͡ʃi	h a n t͡ʃ i
flesh	FLESH OR MEAT	2615.0	Proto-Guahiboan	guah1252	Guahiboan	wúi	w úi
carne	FLESH OR MEAT	2615.0	Proto-Macro-Je	nucl1710	Macro-Jean	ñĩt	ñ ĩ t
carne	FLESH OR MEAT	2615.0	Proto-Naduhup	nada1235	Naduhup	tʼapi	tʼ a p i
meat	FLESH OR MEAT	2615.0	Proto-Panoan	pano1256	Panoan	rami	r a m i
flesh	FLESH OR MEAT	2615.0	Proto-Quechuan	quec1387	Quechuan	ayt͡ʃa	ay t͡ʃ a
to float	FLOAT	1574.0	Proto-Quechuan	quec1387	Quechuan	wampu	w a m p u
flotar	FLOAT	1574.0	Proto-Shuar	jiva1245	Chicham	wampu	w a m p u
	FLOAT	1574.0	Proto-Tucanoan	tuca1253	Tucanoan	p.a.ʔj.a	p a ˀj a
piso	FLOOR	1632.0	Proto-Shuar	jiva1245	Chicham	páta	p á t a
flour	FLOUR	1594.0	Proto-Aymara	ayma1253	Aymaran	aku	a k u
flour	FLOUR	1594.0	Proto-Chapacuran	chap1271	Chapacuran	moɾoʔ	m o ɾ o ʔ
to flow	FLOW	2003.0	Proto-Aymara	ayma1253	Aymaran	hawi	h a w i
correr	FLOW	2003.0	Proto-Guaicuru	guai1249	Guaicuruan	aˀlokʔó	aˀ l o k ʔ ó
correr	FLOW	2003.0	Proto-Guaicuru	guai1249	Guaicuruan	atˀowate	a tˀ o w a t e
flower	FLOWER	239.0	Proto-Arawakan	araw1281	Arawakan	çɨwɨ	ç ɨ w ɨ
flower	FLOWER	239.0	Proto-Chapacuran	chap1271	Chapacuran	pʷiw	pʷ i w
