ORIGINAL_GLOSS	CONCEPT	CONCEPTICON_ID	LANGUAGE_NAME	DOCULECT	FAMILY	FORM	TOKENS
to launder	LAUNDER (WASH CLOTHES)	2503.0	Proto-Quechuan	quec1387	Quechuan	taqʃa	t a q ʃ a
lay eggs	LAY EGGS	2464.0	Proto-Quechuan	quec1387	Quechuan	watʂa	w a t ʂ a
poner huevos	LAY EGGS	2464.0	Proto-Shuar	jiva1245	Chicham	petsá	p e t s á
lazy	LAZY	1564.0	Proto-Chapacuran	chap1271	Chapacuran	tawan	t a w a n
perezoso	LAZY	1564.0	Proto-Guaicuru	guai1249	Guaicuruan	ewela	e w e l a
lazy	LAZY	1564.0	Proto-Quechuan	quec1387	Quechuan	qiʎa	q i ʎ a
perezoso	LAZY	1564.0	Proto-Shuar	jiva1245	Chicham	uyúshi	uyú s h i
guide	LEAD (GUIDE)	43.0	Proto-Quechuan	quec1387	Quechuan	puʃa	p u ʃ a
leaf	LEAF	628.0	Proto-Arawakan	araw1281	Arawakan	bana	b a n a
hoja	LEAF	628.0	Proto-Chocoan	choc1280	Chocoan	keˈɾu	k e ˈɾ u
hoja de árbol	LEAF	628.0	Proto-Matacoan	mata1289	Matacoan	sex	s e x
folha	LEAF	628.0	Proto-Naduhup	nada1235	Naduhup	kʼâti	kʼ â t i
leaf	LEAF	628.0	Proto-Quechuan	quec1387	Quechuan	rapra	r a p r a
hoja	LEAF	628.0	Proto-Shuar	jiva1245	Chicham	núka	n ú k a
leaf	LEAF (LEAFLIKE OBJECT)	2250.0	Proto-Chapacuran	chap1271	Chapacuran	tan	t a n
leaf	LEAF (LEAFLIKE OBJECT)	2250.0	Proto-Chibchan	chib1249	Chibchan	ˈkə́	ˈk ə́
lean	LEAN (MEAT)	2219.0	Proto-Aymara	ayma1253	Aymaran	winku	w i n k u
learn	LEARN	504.0	Proto-Aymara	ayma1253	Aymaran	yati	ya t i
to learn	LEARN	504.0	Proto-Panoan	pano1256	Panoan	ʔonan	ʔ o n a n
learn	LEARN	504.0	Proto-Quechuan	quec1387	Quechuan	yatʂa	ya t ʂ a
cuero	LEATHER	629.0	Proto-Guaicuru	guai1249	Guaicuruan	ʔáko	ʔ á k o
leather	LEATHER	629.0	Proto-Panoan	pano1256	Panoan	βitsi	β i t s i
left	LEAVE	1752.0	Proto-Aymara	ayma1253	Aymaran	tʂiqa	t ʂ i q a
izquierda	LEFT	244.0	Proto-Matacoan	mata1289	Matacoan	xʷejix	xʷ e j i x
izquierda	LEFT HAND	2182.0	Proto-Guaicuru	guai1249	Guaicuruan	ʔemáqa	ʔ e m á q a
mão esquerda	LEFT HAND	2182.0	Proto-Naduhup	nada1235	Naduhup	cã̂ʔo	c ã̂ ʔ o
