ID,Name,Glottocode,Family,Latitude,Longitude
l250,Puruborá,puru1264,Tupian,-11.4226,-62.4358
l251,Tembé,temb1276,Tupian,-2.6123,-48.2359
l252,Xipáya,xipa1240,Tupian,-4.133,-49.948
l253,Kayabí,kaya1329,Tupian,-11.2747,-55.5479
l254,Cojubim,kuyu1236,Chapacuran,-11.75,-64.0
l255,Moré,itor1239,Chapacuran,,
l256,Oro Win,orow1243,Chapacuran,-10.737,-64.0299
l257,Torá,tora1263,Chapacuran,-6.19532,-61.7416
l258,Wanyam,wany1246,Chapacuran,-12.1,-63.1
l259,Wari',wari1268,Chapacuran,-10.69948,-64.56152
l260,Jarú,yaru1257,Chapacuran,-10.25,-62.0
l261,Urupá,urup1245,Chapacuran,-10.25,-62.75
l262,Guayaki,ache1246,Tupian,-25.5865,-56.4697
l263,Anambé,anam1249,Tupian,-2.71119,-49.303
l264,Kamayura,kama1373,Tupian,-12.2661,-53.4651
l265,Kitemoka,kite1237,Chapacuran,-16.0,-62.75
l266,Tapakura,chap1269,Chapacuran,-14.8,-62.2
l267,Takunjape,tacu1234,Tupian,-4.562946,-53.750438
l268,Aruashi,arua1262,Tupian,,
l269,Anauyá,anau1243,Arawakan,1.480584,-65.413237
l270,Apurinã,apur1254,Arawakan,-8.21692,-66.7714
l271,Araicu,arai1239,Arawakan,-3.104315,-67.2052
l272,Arhuaco,arhu1242,Chibchan,10.7018,-73.6363
l273,Aruan,arua1264,Arawakan,-0.608631,-50.123291
l274,Asháninka,asha1243,Arawakan,-11.9311,-73.9073
l275,Avane,bani1254,Arawakan,5.26123,-67.5633
l276,Baniwa Do Icana,bani1255,Arawakan,2.17859,-67.7704
l277,Baré,bare1276,Arawakan,1.91649,-66.828
l278,Boruca,boru1252,Chibchan,8.88093,-83.2124
l279,Bribri,brib1243,Chibchan,9.39794,-83.0539
l280,Buglere,bugl1243,Chibchan,8.57695,-81.25648
l281,Cabiyarí,cabi1241,Arawakan,0.16101,-71.0622
l282,Cabécar,cabe1245,Chibchan,9.67031,-83.4102
l283,Caquinte,caqu1242,Arawakan,-11.4812,-73.4451
l284,Cariai,cari1280,Arawakan,-1.072848,-62.887131
l285,Central Tunebo,cent2150,Chibchan,6.8867,-72.097
l286,Chamicuro,cham1318,Arawakan,-5.1149,-75.6778
l287,Chibcha,chib1270,Chibchan,6.24999,-74.1666
l288,Chimila,chim1309,Chibchan,10.1902,-74.2559
l289,Cogui,cogu1240,Chibchan,10.9485,-73.8043
l290,Curripaco,curr1243,Arawakan,0.69618,-67.5028
l291,Dorasque,dora1242,Chibchan,8.567442,-82.375717
l292,Enawené-Nawé,enaw1238,Arawakan,-12.4302,-58.9802
l293,Garifuna,gari1256,Arawakan,15.3529,-86.9091
l294,Guinau,guin1258,Arawakan,4.797607,-64.73877
l295,Island Carib,isla1278,Arawakan,15.364795,-61.342957
l296,Iñapari,inap1243,Arawakan,-12.4653,-69.3083
l297,Jumana,juma1250,Arawakan,-1.930054,-68.295609
l298,Kaishana,kais1242,Arawakan,-2.171598,-67.319199
l299,Kinikinao,guan1270,Arawakan,-19.1667,-54.0333
l300,Machiguenga,mach1267,Arawakan,-12.1291,-72.5017
l301,Machinere,mach1268,Arawakan,-10.661655,-70.208108
l302,Maipure,maip1246,Arawakan,4.8,-67.5
l303,Malayo,mala1522,Chibchan,10.9286,-73.4056
l304,Maléku Jaíka,male1297,Chibchan,10.7485,-84.7318
l305,Manao,mana1299,Arawakan,-0.540066,-64.5186
l306,Mandahuaca,mand1448,Arawakan,1.48,-66.52
l307,Mapidian-Mawayana,mapi1252,Arawakan,1.190187,-58.585983
l308,Maragua,mara1409,Arawakan,-3.0,-67.512818
l309,Marawan,mara1408,Arawakan,3.9,-51.8
l310,Mariate,uain1239,Arawakan,-1.676121,-71.149307
l311,Mehináku,mehi1240,Arawakan,-12.5364,-53.521
l312,Ngäbere,ngab1239,Chibchan,8.8251,-82.3911
l313,Nomatsiguenga,noma1263,Arawakan,-11.5349,-74.4371
l314,Palikúr,pali1279,Arawakan,3.63993,-51.6246
l315,Paraujano,para1316,Arawakan,10.8427,-71.8399
l316,Parecís,pare1272,Arawakan,-14.5929,-57.4059
l317,Passe,pass1250,Arawakan,-2.596949,-68.468643
l318,Pech,pech1241,Chibchan,15.8033,-85.558
l319,Rama,rama1270,Chibchan,11.5007,-83.8571
l320,Resigaro,resi1247,Arawakan,-1.169535,-71.60524
l321,San Blas Kuna,sanb1242,Chibchan,9.15686,-78.3075
l322,Saraveca,sara1331,Arawakan,-16.07,-57.8
l323,Taino,tain1254,Arawakan,18.2836,-66.8042
l324,Terena,tere1281,Arawakan,,
l325,Teribe,teri1250,Chibchan,9.067,-82.9631
l326,Trinitario,trin1274,Arawakan,-15.3331,-65.4096
l327,Wainuma,uain1239,Arawakan,-1.676121,-71.149307
l328,Warekena Velha,ware1255,Arawakan,2.904099,-67.092099
l329,Xiriâna,xiri1243,Arawakan,0.83868,-63.452927
l330,Yanesha',yane1238,Arawakan,-10.5454,-75.315
l331,Yavitero,yavi1244,Arawakan,2.924844,-67.438886
l332,Yawalapití,yawa1261,Arawakan,-12.5104,-53.4236
l333,Yucuna,yucu1253,Arawakan,-0.76075,-71.0033
